ALED-340,SPRING 2015,WILLIAMS J,13,9,1,0,1,3.375,0,0,0,0,0,
ALED-340,SPRING 2015,WILLIAMS J,12,7,4,1,0,3.250,0,0,0,0,0,
ALED-340,SPRING 2015,WILLIAMS J,15,9,0,0,0,3.625,0,0,0,0,0,
ALED-340,SPRING 2015,WILLIAMS J,12,9,1,1,0,3.391,0,0,0,1,0,
ALED-340,SPRING 2015,WILLIAMS J,8,13,1,0,0,3.318,1,0,0,0,0,
ALED-340,SPRING 2015,WILLIAMS J,12,10,0,0,1,3.391,0,0,0,0,0,
ALED-340,SPRING 2015,WILLIAMS J,15,8,1,0,0,3.583,0,0,0,0,0,
ALED-344,SPRING 2015,DROMGOOLE D,36,6,1,0,0,3.814,0,0,0,0,0,
ALED-344,SPRING 2015,LOCKETT L,11,9,3,0,0,3.348,0,0,0,2,0,
ALED-380,SPRING 2015,ELBERT C,21,3,0,0,0,3.875,0,0,0,0,0,
ALED-380,SPRING 2015,ELBERT C,43,0,0,0,0,4.000,0,0,0,0,0,
ALED-401,SPRING 2015,WILLIAMS J,10,0,0,0,0,4.000,0,0,0,0,0,
ALED-422,SPRING 2015,HO S,31,20,10,2,1,3.219,0,0,0,2,0,
ALED-424,SPRING 2015,BOYD B,25,37,7,1,0,3.229,0,0,0,0,0,
ALED-424,SPRING 2015,BOYD B,55,28,1,0,0,3.643,0,0,0,0,0,
ALED-426,SPRING 2015,PERDUE E,40,2,0,0,0,3.952,0,0,0,0,0,
ALED-440,SPRING 2015,STRONG, JR,22,30,7,1,2,3.113,0,0,0,0,0,
ALED-440,SPRING 2015,BOBBITT E,23,15,1,0,3,3.310,0,0,0,0,0,
ALED-440,SPRING 2015,HANAGRIFF R,13,0,0,0,0,4.000,0,0,0,0,0,
ALED-441,SPRING 2015,ANDREWS K,47,3,0,0,0,3.940,0,0,0,0,0,
ALED-481,SPRING 2015,BOBBITT E,58,15,2,1,1,3.662,0,0,0,1,0,
ALED-481,SPRING 2015,ODOM S,34,9,6,0,0,3.571,0,0,0,0,0,
ALED-485,SPRING 2015,MOORE L,14,0,0,0,0,4.000,2,0,0,0,0,
ALED-485,SPRING 2015,STAVINOHA M,10,0,0,0,0,4.000,0,0,0,0,1,
ALED-485,SPRING 2015,HO S,13,0,0,0,1,3.714,0,0,0,0,0,
AGEC-105,SPRING 2015,MJELDE J,2,7,3,3,0,2.533,0,0,0,1,0,
AGEC-105,SPRING 2015,MJELDE J,8,16,18,8,1,2.431,0,0,0,9,0,
AGEC-105,SPRING 2015,MJELDE J,7,22,26,18,10,1.976,0,0,0,15,0,
AGEC-105,SPRING 2015,ZHANG Y,17,6,0,0,0,3.739,0,0,0,0,0,
AGEC-105,SPRING 2015,ZHANG Y,24,16,4,1,0,3.400,0,0,0,0,0,
AGEC-105,SPRING 2015,ZHANG Y,72,39,12,0,0,3.488,0,0,0,0,0,
AGEC-217,SPRING 2015,MENZIES III,14,19,8,1,0,3.095,0,0,0,0,0,
AGEC-217,SPRING 2015,MENZIES III,10,16,9,4,1,2.750,0,0,0,1,0,
AGEC-217,SPRING 2015,MENZIES III,17,11,7,1,0,3.222,0,0,0,1,0,
AGEC-314,SPRING 2015,FANG L,17,11,2,0,0,3.500,0,0,0,0,0,
AGEC-314,SPRING 2015,FANG L,16,11,3,1,2,3.152,0,0,0,0,0,
AGEC-314,SPRING 2015,DHARMASENA K,26,4,0,0,1,3.742,0,0,0,0,0,
AGEC-314,SPRING 2015,DHARMASENA K,42,5,0,0,1,3.812,0,0,0,1,0,
AGEC-314,SPRING 2015,DHARMASENA K,4,0,0,0,1,3.200,0,0,0,0,0,
AGEC-315,SPRING 2015,LITZENBERG K,17,12,2,0,0,3.484,0,0,0,1,0,
AGEC-315,SPRING 2015,LITZENBERG K,11,15,8,0,2,2.917,0,0,0,1,0,
AGEC-315,SPRING 2015,LITZENBERG K,9,13,2,0,0,3.292,0,0,0,6,0,
AGEC-315,SPRING 2015,LITZENBERG K,11,10,8,0,1,3.000,0,0,0,5,0,
AGEC-317,SPRING 2015,HLAVINKA A,12,18,3,2,0,3.143,0,0,0,1,0,
AGEC-317,SPRING 2015,LIU P,23,19,4,1,0,3.362,0,0,0,0,0,
AGEC-325,SPRING 2015,CONNER J,3,10,9,1,1,2.542,0,0,0,1,0,
AGEC-325,SPRING 2015,CONNER J,1,7,4,1,0,2.615,0,0,0,0,0,
AGEC-330,SPRING 2015,LEATHAM D,6,25,12,1,2,2.696,0,0,0,4,0,
AGEC-330,SPRING 2015,LEATHAM D,9,17,17,0,3,2.630,0,0,0,8,0,
AGEC-340,SPRING 2015,SIEBERT J,43,16,4,0,1,3.562,0,0,0,0,0,
AGEC-340,SPRING 2015,SIEBERT J,43,29,9,3,0,3.333,0,0,0,1,0,
AGEC-340,SPRING 2015,SIEBERT J,53,14,5,0,0,3.667,0,0,0,0,0,
AGEC-340,SPRING 2015,SIEBERT J,36,13,6,3,1,3.356,0,0,0,1,0,
AGEC-344,SPRING 2015,BOADU F,21,12,6,2,0,3.268,0,0,0,1,0,
AGEC-344,SPRING 2015,BOADU F,5,7,3,1,0,3.000,0,0,0,1,0,
AGEC-350,SPRING 2015,WOODWARD R,3,10,9,0,0,2.727,0,0,0,1,0,
AGEC-350,SPRING 2015,WOODWARD R,6,12,7,0,1,2.846,0,0,0,0,0,
AGEC-414,SPRING 2015,DHARMASENA K,54,11,0,0,0,3.831,0,0,0,1,0,
AGEC-415,SPRING 2015,DHARMASENA K,11,3,0,0,0,3.786,0,0,0,0,0,
AGEC-422,SPRING 2015,BINDER K,17,25,7,0,1,3.140,0,0,0,0,0,
AGEC-422,SPRING 2015,BINDER K,9,9,0,1,0,3.368,0,0,0,0,0,
AGEC-425,SPRING 2015,RISTER M,9,8,1,0,0,3.444,0,0,0,1,0,
AGEC-429,SPRING 2015,WILLIAMS G,22,41,14,2,2,2.975,0,0,0,1,0,
AGEC-429,SPRING 2015,WILLIAMS G,1,3,1,0,0,3.000,0,0,0,0,0,
AGEC-430,SPRING 2015,PENSON J,26,75,19,1,0,3.041,0,0,0,0,0,
AGEC-431,SPRING 2015,SALIN V,27,32,4,0,2,3.262,0,0,0,0,0,
AGEC-432,SPRING 2015,LEATHAM D,5,9,15,2,0,2.548,0,0,0,0,0,
AGEC-434,SPRING 2015,PENSON J,4,21,10,1,0,2.778,0,0,0,0,0,
AGEC-435,SPRING 2015,HARNESS N,8,12,7,2,0,2.897,0,0,0,0,0,
AGEC-435,SPRING 2015,HARNESS N,7,17,7,2,0,2.879,0,0,0,1,0,
AGEC-435,SPRING 2015,HARNESS N,4,10,4,0,0,3.000,0,0,0,0,0,
AGEC-436,SPRING 2015,HOOD M,6,18,2,1,0,3.074,0,0,0,0,0,
AGEC-440,SPRING 2015,NG D,42,24,8,0,0,3.460,0,0,0,0,0,
AGEC-448,SPRING 2015,VEDENOV D,11,22,8,0,0,3.073,0,0,0,0,0,
AGEC-460,SPRING 2015,MENZIES III,6,0,0,0,0,4.000,0,0,0,0,0,
AGEC-481,SPRING 2015,SIEBERT J,114,10,2,1,0,3.866,0,0,0,1,0,
AGEC-484,SPRING 2015,RICHARDSON J,5,0,0,0,0,4.000,3,0,0,0,0,
AGEC-489,SPRING 2015,HARNESS N,3,5,4,0,0,2.917,0,0,0,0,0,
AGEC-491,SPRING 2015,RISTER M,5,4,0,0,0,3.556,1,0,0,0,0,
AGEC-601,SPRING 2015,VEDENOV D,15,2,0,0,0,3.882,0,0,0,0,0,
AGEC-603,SPRING 2015,MJELDE J,12,17,5,0,0,3.206,0,0,0,0,0,
AGEC-604,SPRING 2015,MJELDE J,9,3,0,0,0,3.750,0,0,0,0,0,
AGEC-607,SPRING 2015,BESSLER D,12,6,0,0,0,3.667,0,0,0,0,0,
AGEC-622,SPRING 2015,RICHARDSON J,22,24,6,0,0,3.308,0,0,0,0,0,
AGEC-625,SPRING 2015,NG D,21,3,1,0,0,3.800,0,0,0,0,0,
AGEC-634,SPRING 2015,PENSON J,5,6,0,0,0,3.454,0,0,0,0,0,
AGEC-635,SPRING 2015,DHARMASENA K,8,2,0,0,0,3.800,0,0,0,0,0,
AGEC-661,SPRING 2015,WU X,15,8,6,0,0,3.310,0,0,0,0,0,
AGEC-676,SPRING 2015,BESSLER D,4,6,0,0,0,3.400,0,0,0,0,0,
AGEC-685,SPRING 2015,SALIN V,5,0,0,0,0,4.000,0,0,0,0,0,
ANSC-107,SPRING 2015,FRENZEL L,219,59,16,2,1,3.660,0,0,0,1,0,
ANSC-107,SPRING 2015,RAMSEY W,12,10,1,1,0,3.375,0,0,0,1,0,
ANSC-108,SPRING 2015,SKAGGS C,22,2,0,0,0,3.917,0,0,0,0,0,
ANSC-108,SPRING 2015,SKAGGS C,19,6,0,0,0,3.760,0,0,0,0,0,
ANSC-108,SPRING 2015,SKAGGS C,18,3,2,1,0,3.583,0,0,0,0,0,
ANSC-108,SPRING 2015,SKAGGS C,16,5,0,1,0,3.636,0,0,0,0,0,
ANSC-108,SPRING 2015,POE A,7,1,1,0,0,3.667,0,0,0,0,0,
ANSC-108,SPRING 2015,POE A,19,2,3,0,0,3.667,0,0,0,0,0,
ANSC-108,SPRING 2015,POE A,10,1,0,0,0,3.909,0,0,0,0,0,
